zipcode,pets_pc
98101,3.578336557
98102,4.116908877
98103,5.427653985
98104,2.453510571
98105,2.849685962
98106,5.064014632
98107,6.348425197
98108,2.987486534
98109,4.703355307
98112,5.343851133
98115,5.776061177
98116,6.534599517
98117,7.530496876
98118,3.764957265
98119,4.841028918
98121,3.813919592
98122,4.220552723
98125,4.60260275
98126,6.164383562
98133,2.302128539
98134,2.962085308
98136,7.229283794
98144,4.132901135
98146,1.584079458
98164,7.874015748
98177,3.190649965
98178,1.048425529
98195,3.846153846
98199,7.123730379
